categorie,texte,medicament1,medicament2,astuce
diabeta,Misy fery eo amin'ny tongotra tsy sitrana ela ka mihamalalaka,Fanadiovana fery : 2x/andro,Antibiotika : raha ilaina,Jereo ny tongotra isan'andro ary mampiasa kiraro mifanaraka tsara
diabeta,Very lanja nefa tsy mihinana be ary matetika mangetaheta,Metformine : 2x/andro (maraina-hariva),Insuline : raha ilaina,Manao fitiliana siramamy ao amin'ny ra isan'andro ary mihinana ara-potoana
diabeta,Mahatsiaro ho reraka be na dia tsy nanao asa mavesatra aza,Metformine : 2x/andro (maraina-hariva),Vitamine B12 : 1x/andro (maraina),Mihin� sakafo manankarena fibre ary miala sasatra tsara
diabeta,Mangovitra sy malemy vatana rehefa mosarena loatra,Glucose gel : raha ilaina (raha ambany loatra ny siramamy),Mihinana sakafo misy siramamy avy hatrany,Mitondra siramamy kely na mamy foana raha mety ho ambany ny siramamy
fiakaran'ny tosi-dra,Miakatra ny tosidra ka marary loha mafy ary mihodinkodina ny maso indrindra rehefa mitsangana,Amlodipine 5 mg : 1x/andro (maraina) isan'andro tsy tapaka,Lisinopril : 1x/andro (maraina) isan'andro tsy tapaka,Mampihena ny sira amin'ny sakafo ary misotro rano madio betsaka
fiakaran'ny tosi-dra,Mangorakoraka ny sofiko ary mahatsiaro ho very hevitra miaraka amin'ny tosidra avo sy fivalozana,Hydrochlorothiazide : 1x/andro (maraina) isan'andro tsy tapaka,Losartan : 1x/andro (maraina) isan'andro,Manao fanatanjahan-tena maivana isan'andro toy ny mandeha an-tongotra
fiakaran'ny tosi-dra,Misy r� mivoaka avy amin'ny orona tsy misy antony raha miakatra ny tosidra,Nif�dipine : 1x/andro (maraina),Amlodipine : 1x/andro (maraina),Miala sasatra ary miondrika mandroso ny loha raha misy r� mivoaka
fiakaran'ny tosi-dra,Mahatsiaro ho marenina sy mavesatra ny loha,Amlodipine : 1x/andro (maraina),Lisinopril : 1x/andro (maraina),Misotroa dite maitso tsy misy siramamy ary mampihena ny kafeinina
fiakaran'ny tosi-dra,Tsy mahita tory noho ny aretin-doha vokatry ny tosidra avo,Losartan : 1x/andro (maraina),Hydrochlorothiazide : 1x/andro (maraina),Matory amin'ny ora mitovy isan'alina ary aza mihinana sakafo mavesatra alohan'ny hatory
tazomoka,Mangovitra sy mafana miovaova ny vatako ka miova isaky ny adiny roa na telo miaraka amin'ny hatsiaka be,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Art�sunate : 1x/andro mandritra ny 3 andro,Mampias� moka rota rehefa matory ary manala ny rano mijanon-janona manodidina ny trano
tazomoka,Mangidihidy ny vatako sy tazo ary reraka ka tsy mahazaka hazavana mamirapiratra na feo mafy,Art�m�ther-lum�fantrine : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol : raha misy tazo,Matory amin'ny efitra mangina sy maizina ary mampiasa lamba madio
tazomoka,Mandoa sy mivalana miaraka amin'ny tazo sy ny mangovitra,Parac�tamol : 3x/andro (maraina-midi-hariva),ORS : isaky ny mikoriana,Misotroa ORS betsaka mba tsy ho ritra rano
tazomoka,Misy tazo miaraka amin'ny aretin-doha mafy sy ny fanaintainan'ny hozatra,Art�sunate : 1x/andro mandritra ny 3 andro,Parac�tamol : 3x/andro,Miala sasatra ary aza mivoaka mandritra ny tazo
tazomoka,Efa vita ny fitsaboana nefa mbola misy tazo indray,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny toeram-pahasalamana haingana satria mety ho tazomoka mahatohitra fanafody
tazo,Mafana be ny vatako ka 39�C na mihoatra ary mangovitra tsy mitsahatra miaraka amin'ny hatsiaka,Parac�tamol 500 mg : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,Ibuprof�ne 400 mg : 2x/andro (maraina-hariva),Misotroa rano betsaka ary mampiasa lamba mando eo amin'ny handrina
tazo,Misy tazo miaraka amin'ny kohaka sy ranon'orona ary sempotra kely rehefa mihetsika,Parac�tamol : 3x/andro (maraina-midi-hariva),Sirop kohaka : 3x/andro (maraina-midi-hariva),Miala sasatra ary mihinana lasopy mafana misy tongolo sy akoho
tazo,Misy tazo nefa tsy mihoatra ny 38�C fa maharitra mihoatra ny 3 andro,Fanaraha-maso dokotera,Parac�tamol : raha ilaina,Manao fitiliana ra mba hahitana ny antony marina
tazo,Misy tazo miaraka amin'ny fivontosan'ny tenda sy fahasarotana mitelina,Amoxicilline : 2x/andro (maraina-hariva) mandritra ny 5 andro,Parac�tamol : 3x/andro,Misotroa rano mafana misy tantely ary miala sasatra
tazo,Tazo vokatry ny vaksiny vao vita,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 2 andro,Ibuprof�ne : raha ilaina,Misotroa rano betsaka ary mampiasa lamba mando eo amin'ny toerana nanaovana vaksiny
kohaka,Mikohaka maina tsy misy ranona indrindra amin'ny alina ka tsy mahita tory sy maharary tratra,Dextrom�thorphane : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Honey sirop : 2x/andro (maraina-hariva),Misotroa ranon-tanana mafana misy tantely sy voasarimakirana
kohaka,Mikohaka misy ranona mavo na maitso ary marary tratra rehefa mikohaka ka mamoaka fofona ratsy,Amoxicilline : 2x/andro (maraina-hariva) mandritra ny 7 andro,Bromhexine : 3x/andro (maraina-midi-hariva),Misotroa rano betsaka ary mampiasa sirop kohaka manify ny ranona
kohaka,Efa telo herinandro no mikohaka fa tsy mbola sitrana na inona na inona na dia nisotro fanafody aza,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana raha misy allergy na asthma
kohaka,Mikohaka miaraka amin'ny sempotra sy ny feo mitsioka rehefa miaina,Salbutamol inhaler : 2x/andro (maraina-hariva) mandritra ny 5 andro,Cortico�de inhaler : 1x/andro (hariva),Fadio ny vovoka sy ny zavatra mety mahatonga ny allergy
kohaka,Mikohaka aorian'ny fihomehezana na fanaovana exercice mafy,Salbutamol inhaler : raha ilaina alohan'ny exercice,Manao fanafanana vatana alohan'ny hanaovana exercice
kohaka,Mikohaka vokatry ny vovoka na ny loto ao an-trano,C�tirizine : 1x/andro (hariva) mandritra ny 5 andro,Sirop kohaka : raha ilaina,Diova tsara ny trano ary mampiasa mpanadio rivotra
aretin-pivalanana,Mikoriana toy ny rano intelo ambin'ny folo isan'andro ka ritra rano ny vatana sy malemy hatramin'ny tongotra,ORS : isaky ny mikoriana,Lop�ramide : 2x/andro (maraina-hariva) mandritra ny 2 andro,Misotroa ORS betsaka ary mihinana vary fotsy sy akoho tsy misy tavy
aretin-pivalanana,Mivalana misy ra sy marary kibo mafy ka tsy mahitsy ny vatana ary misy tazo,Consultation dokotera maika,Antibiotika : 2x/andro (maraina-hariva) mandritra ny 7 andro,Mandeha any amin'ny toeram-pahasalamana haingana satria mety ho aretina mafy izany
aretin-pivalanana,Mivalana aorian'ny nisakafo any ivelany ka mety ho voan'ny sakafo efa lany sy ny rano tsy madio,Charbon actif : 3x/andro (maraina-midi-hariva) mandritra ny 2 andro,ORS : raha ilaina,Mahandro tsara ny sakafo ary misafidy toerana madio hisakafoana
aretin-pivalanana,Mivalana vokatry ny fanafody antibiotika,Probiotika : 2x/andro (maraina-hariva) mandritra ny 1 volana,ORS : raha ilaina,Misotroa yaourt na kefir isan'andro mandritra ny fitsaboana
aretin-pivalanana,Mivalana miaraka amin'ny fivalozana sy ny marary vatana,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 2 andro,ORS : isaky ny mikoriana,Miala sasatra ary aza mihinana sakafo mavesatra
aretin-pivalanana,Mivalana maharitra mihoatra ny 5 andro ka tsy sitrana,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana ny tsinay mba hahitana ny antony marina
fanaintainan-damosina,Mangirifirifa ny lamosiko ambany ka tsy mahatsinjo mivantana na miondrika ary mipaka any amin'ny tongotra,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 5 andro,Parac�tamol : 3x/andro (maraina-midi-hariva),Manamafy ny hozatry ny lamosina amin'ny fanatanjahan-tena toy ny yogo na faninjiana
fanaintainan-damosina,Marary ny lamosiko aorian'ny asa mavesatra ka tsy afaka miondrika na mitondra zavatra na dia maivana aza,Ibuprof�ne 600 mg : 2x/andro (maraina-hariva) mandritra ny 5 andro,Cortisone : 1x/andro (maraina) mandritra ny 5 andro,Miala sasatra ary asio ranomandry eo amin'ny lamosina mandritra ny 15 minitra
fanaintainan-damosina,Mipaka any amin'ny tongotra ny fanaintainana toy ny mandeha amin'ny herinaratra manomboka amin'ny lamosina ambany ka hatrany amin'ny rantsan-tongotra,Carbamaz�pine : 2x/andro (maraina-hariva) mandritra ny 2 volana,Gabapentine : 3x/andro (maraina-midi-hariva),Manao faninjiana malefaka isan'andro ary aza mipetraka ela
fanaintainan-damosina,Marary ny lamosina ambony eo anelanelan'ny soroka,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 5 andro,Parac�tamol : raha ilaina,Manitsy ny fipetrahan'ny vatana rehefa mipetraka na mijoro
fanaintainan-damosina,Mangirifirifa ny lamosina rehefa mitsangana ela na mandeha lavitra,Ibuprof�ne : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol : raha ilaina,Mampiasa kiraro malefaka sy manohana ny lamosina
fanaintainan-damosina,Marary ny lamosina vokatry ny fatorana amin'ny kidoro malefaka loatra,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 3 andro,Matory amin'ny kidoro mafy sy ondana mifanaraka amin'ny tendany
marenina,Tsy maheno tsara ny sofiko ka toy ny misy rano na zavatra manakona ao anatiny aorian'ny fandroana,Fanadiovana sofina : 1x/andro mandritra ny 3 andro,Tsindrona sofina : 2x/andro (maraina-hariva) mandritra ny 5 andro,Maina tsara ny sofina rehefa avy nandro ary azo miditra rano ao anatiny
marenina,Misy feo mikotrokotroka tsy mitsahatra ao an-tsoriko indrindra rehefa mangina ny manodidina ka tsy mahita tory,Ginkgo biloba : 2x/andro (maraina-hariva) mandritra ny 1 volana,Vitamine B12 : 1x/andro (maraina),Mampihena ny kafeinina sy ny sira ary miala sasatra tsara
marenina,Misy fery na fanaintainana ao an-tsoriko miaraka amin'ny fivoahan'ny rano,Tsindrona sofina antibiotika : 3x/andro (maraina-midi-hariva) mandritra ny 7 andro,Parac�tamol : raha ilaina,Mandeha any amin'ny dokotera raha tsy sitrana rehefa afaka 3 andro
marenina,Tsy maheno tsara ny sofiko rehefa misy olona miteny amiko avy any aoriana,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana ny sofina mba hahitana raha misy olana amin'ny voambolan'ny sofina
aretin-kozatra,Mangidihidy ny vatako sy ny masony ary misy mena mena miparitaka rehefa mihinana voanjo na atody,C�tirizine : 1x/andro (hariva) mandritra ny 5 andro,Loratadine : 1x/andro (maraina),Fantaro izay sakafo mahatonga an'izany ary fadio tanteraka
aretin-kozatra,Mivonto ny molotro sy ny lelako ary mahasempotra rehefa manaikitra bibikely na mihinana zavatra sasany,Adr�naline auto-injecteur : raha ilaina maika,Antihistaminique : 1x/andro (hariva),Mitondra fanafody antihistaminique foana raha fantatrao fa manana allergy mafy ianao
aretin-kozatra,Misy fery eo amin'ny hoditra rehefa mikasika metaly na plastika sasany,Cr�me cortisone : 2x/andro (maraina-hariva) mandritra ny 7 andro,Antihistaminique : raha ilaina,Fadio ny mikasika zavatra mety mahatonga ny allergy ary mampiasa fonon-tanana
aretin-kozatra,Mangidihidy ny vatana aorian'ny fihinanana voankazo sasany toy ny manga na papay,C�tirizine : 1x/andro (hariva),Loratadine : 1x/andro (maraina),Mihinana voankazo masaka tsara ary sasana tsara alohan'ny hihinanana
aretin-kozatra,Mangidihidy ny hoditra rehefa tratran'ny tara-masoandro,Antihistaminique : 1x/andro (maraina),Cr�me cortisone : 2x/andro (maraina-hariva),Mampiasa cr�me miaro amin'ny tara-masoandro (SPF 50) rehefa mivoaka
aretin-tsaina,Tsy mahita tory mandritra ny herinandro maro ka reraka be ny vatana ary mitebiteby,Zolpidem : 1x/andro (hariva) mandritra ny 10 andro,M�latonine : 1x/andro (hariva),Aza mampiasa telefaona na efijery 1 ora alohan'ny hatory ary manao torimaso amin'ny ora mitovy isan'alina
aretin-tsaina,Mitebiteby loatra ka mikitroka ny foko sy mivalana ary tsy mahazo aina,Diaz�pam : 2x/andro (maraina-hariva) mandritra ny 5 andro,Parox�tine : 1x/andro (maraina) mandritra ny 3 volana,Manao fandinihana lalina (respiration profonde) isaky ny mahatsapa ho mitebiteby
aretin-tsaina,Very herim-po sy tsy tia mihinana na miresaka olona mandritra ny volana maro,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Psychoth�rapie : isan-kerinandro,Miresaka amin'ny olona akaiky na mpitsabo ary manao fanatanjahan-tena maivana isan'andro
aretin-tsaina,Mahatsiaro ho very hevitra sy tsy mahatsiaro zavatra tsara,Psychoth�rapie : isan-kerinandro,Vitamine B12 : 1x/andro (maraina),Manoratra diary isan'andro mba hanampy ny fahatsiarovana
aretin-tsaina,Mahatsiaro ho reraka be na dia tsy nanao asa mavesatra aza,Psychoth�rapie,Vitamine D : 1x/andro (maraina),Manao exercice maivana toy ny mandeha an-tongotra 30 minitra isan'andro
aretin-tsaina,Misy hevitra ratsy momba ny tena ka tsy mahazo aina,Psychoth�rapie,Sertraline : 1x/andro (maraina),Miresaka amin'ny olona itokisana ary manao zavatra mahafaly
fiakaran'ny kolesterola,Misy tavy mipoitra eo amin'ny hoditra manodidina ny maso sy ny tanana,Atorvastatine : 1x/andro (hariva) isan'andro tsy tapaka,Rosuvastatine : 1x/andro (hariva),Mihin� legioma sy voankazo betsaka ary aza mihinana sakafo matavy be
fiakaran'ny kolesterola,Misy fanaintainana eo amin'ny tratra rehefa mihetsika vokatry ny tavy mipetaka ao amin'ny lalan-dra,Atorvastatine : 1x/andro (hariva),Aspirine : 1x/andro (hariva),Manao fanatanjahan-tena isan'andro ary mihinana sakafo manankarena fibre
aretin-urinaire,Mivay matetika indrindra amin'ny alina ka may rehefa mivay ary misy ranony kely,Fosfomycine : indray mandeha,Ciprofloxacine : 2x/andro (maraina-hariva) mandritra ny 3 andro,Misotroa rano betsaka isan'andro ary aza mifehy ny fivay rehefa mahatsapa ho voan'ny fivay
aretin-urinaire,Misy ra ao amin'ny urine ka mena ny lokony nefa tsy marary,Fanaraha-maso dokotera,Antibiotika : raha ilaina,Manao fitiliana ny urine mba hahitana raha misy otrikaretina
aretin-urinaire,Mivay tampoka ka tsy mahafehy ny fivay,Anticholinergique : 1x/andro (maraina),Physioth�rapie pelvienne : isan-kerinandro,Manao exercice ho an'ny hozatry ny pelvienne toy ny Kegel isan'andro
aretin-urinaire,Misy fery eo amin'ny faritra misy ny fivay ka marary rehefa mivay,Fanaraha-maso dokotera,Antibiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Misotroa ranon-javatra betsaka ary aza mampiasa savony manitra
aretin-nosy,Mihodinkodina ny manodidina ka tsy mahazo mitsangana na mandeha,Meclizine : 2x/andro (maraina-hariva) mandritra ny 3 andro,B�tahistine : 2x/andro (maraina-hariva),Mitsangana miadana ary mitazona zavatra mafy rehefa mahatsapa ho very hevitra
aretin-nosy,Misy fahatsapana ho toy ny misy sambo mandeha ao an-doha ka mivalozana,B�tahistine : 2x/andro (maraina-hariva),Meclizine : raha ilaina,Matory amin'ny toerana maizina sy mangina ary aza mijery efijery
aretin-nosy,Miverimberina ny aretin'ny nosy isaky ny mihetsika ny loha,B�tahistine : 2x/andro (maraina-hariva) mandritra ny 1 volana,Physioth�rapie vestibulaire : isan-kerinandro,Manao exercice ho an'ny voambolan'ny sofina araka ny torohevitry ny dokotera
aretin-nosy,Mahatsiaro ho very hevitra sy malemy tongotra rehefa mitsangana avy amin'ny fipetrahana,Meclizine : 1x/andro (maraina) mandritra ny 3 andro,B�tahistine : 2x/andro (maraina-hariva),Mitsangana miadana ary misambotra zavatra mafy
aretin-nosy,Misy fahatsapana ho toy ny mihodina ny tany rehefa mandry,Meclizine : 1x/andro (hariva) mandritra ny 5 andro,B�tahistine : 2x/andro (maraina-hariva),Matory amin'ny toerana maizina sy mangina
aretin-tenda,Mangirifirifa ny tendako rehefa mitelina na miteny,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,Ibuprof�ne : 2x/andro (maraina-hariva),Misotroa rano mafana misy tantely sy voasarimakirana
aretin-tenda,Mivonto ny tendako ka misy teboka fotsy eo amin'ny ambo- tenda,Amoxicilline : 2x/andro (maraina-hariva) mandritra ny 5 andro,Parac�tamol : 3x/andro,Misotroa ranon-javatra mafana ary miala sasatra
aretin-tenda,Misy feo mikiririka rehefa miteny ary marary tenda,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol : raha ilaina,Miresaka moramora ary aza mikiakiaka
aretin-tenda,Mahatsiaro ho maina ny tenda ka mangidihidy,C�tirizine : 1x/andro (hariva) mandritra ny 3 andro,Sirop kohaka : raha ilaina,Misotroa rano betsaka ary mampiasa humidificateur
aretin-tenda,Misy fery eo amin'ny tenda ka maharary mafy rehefa mitelina,Fanaraha-maso dokotera,Antibiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Mihinana sakafo malefaka toy ny vary sosoa
aretin-tenda,Nisy fandidiana nanaovana ny tenda ka mbola marary,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,Ibuprof�ne : raha ilaina,Miala sasatra ary aza miteny be loatra
aretin-tsinay (olona antitra),Mivalana matetika indrindra rehefa misotro ronono,ORS : isaky ny mikoriana,Lactase : alohan'ny hisakafo ronono,Misotroa ronono tsy misy lactose
aretin-tsinay (olona antitra),Mivalana vokatry ny fanafody kalsioma,ORS : isaky ny mikoriana,Probiotika : 1x/andro (maraina),Misotroa fanafody kalsioma aorian'ny sakafo
aretin-tsinay (olona antitra),Tsy mivalana mandritra ny 4 andro ka mivonto ny kibo,Lactulose : 2x/andro (maraina-hariva) mandritra ny 3 andro,Suppositoire glycerine : indray mandeha,Misotroa rano betsaka ary mihinana legioma
aretin-tsinay (olona antitra),Mivalana sy malemy vatana vokatry ny tsy fahampian-tsakafo,ORS : isaky ny mikoriana,Fanampin-tsakafo : 2x/andro (maraina-hariva),Mihinana sakafo malefaka sy be otrikaina
aretin-tsinay (olona antitra),Mivalana miaraka amin'ny r� vokatry ny fery ao an-tsinay,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny toeram-pahasalamana haingana
aretim-po (olona antitra),Mikitokitoka ny foko rehefa manao asa maivana,B�ta-bl�kanina : 1x/andro (maraina) isan'andro tsy tapaka,Amiodarone : 1x/andro (hariva),Miala sasatra ary aza manao asa mavesatra
aretim-po (olona antitra),Mivonto ny tongotro ka mahasakana ny fandehanana,Furos�mide : 1x/andro (maraina) mandritra ny 5 andro,Spironolactone : 1x/andro (maraina),Manandratra ny tongotra rehefa mipetraka
aretim-po (olona antitra),Sempotra rehefa mipetraka na mandry,Furos�mide : 1x/andro (maraina),Digoxine : 1x/andro (maraina),Matory amin'ny toerana misy ondana roa
aretim-po (olona antitra),Mangorakoraka ny sofiko miaraka amin'ny aretin-doha,Losartan : 1x/andro (maraina) isan'andro tsy tapaka,Amlodipine : 1x/andro (maraina),Mampihena ny sira amin'ny sakafo
aretim-po (olona antitra),Marary ny tratra rehefa mihetsika ka mihatsara rehefa miala sasatra,Trinitrine : raha ilaina,Aspirine : 1x/andro (hariva),Mitondra fanafody Trinitrine foana
diabeta (olona antitra),Mangetaheta foana nefa tsy misy siramamy be loatra,Fanaraha-maso dokotera,Metformine : 2x/andro (maraina-hariva),Misotroa rano araka ny torohevitry ny dokotera
diabeta (olona antitra),Maintsy ny maso ka tsy mahita mamaky teny,Insuline : araka ny torohevitry ny dokotera,Fanaraha-maso dokotera,Manao fitiliana maso isan-taona
diabeta (olona antitra),Misy fery eo amin'ny tongotra fa tsy sitrana,Fanadiovana fery : 2x/andro (maraina-hariva),Antibiotika : raha ilaina,Jereo ny tongotra isan'andro ary mampiasa kiraro malefaka
diabeta (olona antitra),Mangovitra sy malemy vatana noho ny siramamy ambany (hypoglyc�mie),Glucose gel : raha ilaina,Mihinana siramamy avy hatrany,Mitondra siramamy kely foana
diabeta (olona antitra),Very lanja nefa tsy mihinana be ary matetika mangetaheta,Metformine : 2x/andro (maraina-hariva),Insuline : raha ilaina,Manao fitiliana siramamy isan'andro
fiakaran'ny tosi-dra (olona antitra),Mihodinkodina rehefa mitsangana avy amin'ny fipetrahana (hypotension orthostatique),Fludrocortisone : 1x/andro (maraina),Midodrine : 2x/andro (maraina-midi),Mitsangana miadana ary misambotra zavatra mafy
fiakaran'ny tosi-dra (olona antitra),Matory tsy mahazo aina noho ny fivay matetika amin'ny alina,Tamsulosine : 1x/andro (hariva) mandritra ny 1 volana,Dutasteride : 1x/andro (maraina),Aza misotro rano be 2 ora alohan'ny hatory
fiakaran'ny tosi-dra (olona antitra),Mangorakoraka ny sofiko sy very hevitra,Eg�rine : 1x/andro (maraina),B�tahistine : 2x/andro (maraina-hariva),Mitsangana miadana ary mampiasa tohana
aretin-urinaire (olona antitra),Mivay matetika indrindra amin'ny alina ka tsy mahita tory,Tamsulosine : 1x/andro (hariva) mandritra ny 1 volana,Fosfomycine : raha misy otrikaretina,Aza misotro rano be 2 ora alohan'ny hatory
aretin-urinaire (olona antitra),Misy ra ao amin'ny urine nefa tsy marary,Fanaraha-maso dokotera,Antibiotika : raha ilaina,Manao fitiliana ny urine sy ny prostate
aretin-urinaire (olona antitra),Mivay tampoka ka tsy mahafehy ny fivay,Anticholinergique : 1x/andro (maraina),Physioth�rapie pelvienne,Manao exercice Kegel isan'andro
aretin-urinaire (olona antitra),Misy fery eo amin'ny faritra misy ny fivay ka marary rehefa mivay,Fanaraha-maso dokotera,Antibiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Misotroa ranon-javatra betsaka
aretin-urinaire (olona antitra),Mivay miaraka amin'ny may sy fahatsapana ho tsy feno ny fivay,Fosfomycine : indray mandeha,Ciprofloxacine : 2x/andro (maraina-hariva) mandritra ny 3 andro,Misotroa ranon-javatra betsaka isan'andro
aretin-tsaina (olona antitra),Manao zavatra hadino matetika toy ny mametraka fanalahidy tsy hitany,Donepezil : 1x/andro (hariva) mandritra ny 3 volana,M�mantine : 1x/andro (maraina),Manao asa fanatsarana ny saina toy ny mamaky boky
aretin-tsaina (olona antitra),Very lalana na dia tany mety tsara aza,Fanaraha-maso dokotera,Donepezil : 1x/andro (hariva),Mampiasa bracelet misy anarana sy adiresy
aretin-tsaina (olona antitra),Miova tampoka ny toe-tsaina ka lasa masiaka na matahotra,Qu�tiapine : 1x/andro (hariva) araka ny torohevitry ny dokotera,Risperidone : 1x/andro (hariva),Mampitony ny olona ary mitady fanampiana avy amin'ny dokotera
aretin-tsaina (olona antitra),Tsy mahita tory mandritra ny alina fa matory amin'ny antoandro,Melatonine : 1x/andro (hariva),Zolpidem : 1x/andro (hariva) mandritra ny 10 andro,Mampiseho hazavana amin'ny antoandro ary manao hetsika
aretin-tsaina (olona antitra),Miteny zavatra tsy misy dikany na tsy marina,Fanaraha-maso dokotera,Risperidone : 1x/andro (hariva),Miresaka moramora ary aza miady hevitra
aretin-tratra (olona antitra),Mikohaka misy ranona mavo sy sempotra vokatry ny pnemonia,Amoxicilline : 2x/andro (maraina-hariva) mandritra ny 7 andro,Parac�tamol : raha misy tazo,Miala sasatra ary mampiasa humidificateur
aretin-tratra (olona antitra),Mikohaka maina maharitra mihoatra ny 3 herinandro,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana havokavoka
aretin-tratra (olona antitra),Sempotra rehefa mandeha na miteny,Salbutamol inhaler : 2x/andro (maraina-hariva),Cortico�de inhaler : 1x/andro (hariva),Miala sasatra ary aza mifoka sigara
aretin-tratra (olona antitra),Misy feo mitsioka rehefa miaina indrindra amin'ny alina,Salbutamol inhaler : raha ilaina,Fanaraha-maso dokotera,Mampiasa humidificateur ao amin'ny efitra
aretin-tratra (olona antitra),Marary tratra rehefa miaina lalina vokatry ny fery ao amin'ny havokavoka,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny toeram-pahasalamana haingana
aretin-kibo (olona antitra),Marary kibo aorian'ny fisakafoana vokatry ny fery ao an-kibo,Om�prazole : 1x/andro (maraina) mandritra ny 4 herinandro,Antiacide : raha ilaina,Mihinana sakafo kely matetika fa tsy be indray mipetaka
aretin-kibo (olona antitra),Mivonto ny kibo sy misento vokatry ny fitohanana,Lactulose : 2x/andro (maraina-hariva) mandritra ny 5 andro,Suppositoire glycerine : raha ilaina,Mihinana legioma sy voankazo betsaka
aretin-kibo (olona antitra),Mandoa aorian'ny fisotroana fanafody fanaintainana,Om�prazole : 1x/andro (maraina) mandritra ny 2 herinandro,Antiacide : raha ilaina,Misotroa fanafody aorian'ny sakafo
aretin-kibo (olona antitra),Mangirifirifa ny kibo ambany vokatry ny fery ao amin'ny tsinay,M�b�v�rine : 2x/andro (maraina-hariva) mandritra ny 1 volana,Phloroglucinol : 3x/andro (maraina-midi-hariva),Mihinana sakafo malefaka sy tsy maranitra
aretin-kibo (olona antitra),Misy r� ao amin'ny fivalanana miaraka amin'ny fivalozana,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny toeram-pahasalamana haingana
aretin-kozatra (olona antitra),Mangidihidy ny vatana vokatry ny maina ny hoditra,Cr�me hamandoana : 3x/andro (maraina-midi-hariva),C�tirizine : 1x/andro (hariva),Mampiasa humidificateur ao an-trano
aretin-kozatra (olona antitra),Misy mena mena eo amin'ny hoditra vokatry ny fanafody sasany,Fanaraha-maso dokotera,Cortisone cr�me : 2x/andro (maraina-hariva),Mampiasa fanafody hafa raha azo atao
aretin-kozatra (olona antitra),Mangidihidy ny hoditra eo amin'ny lamosina sy ny kibo,Antihistaminique : 1x/andro (hariva),Cr�me cortisone : 2x/andro (maraina-hariva),Mampiasa savony malefaka tsy misy fofona
aretin-kozatra (olona antitra),Mivonto ny molotra sy ny masony rehefa mihinana voanjo,Fanaraha-maso dokotera,Adr�naline auto-injecteur : raha ilaina,Fadio tanteraka ny voanjo sy ny vokatra avy aminy
aretin-kozatra (olona antitra),Misy fery eo amin'ny hoditra rehefa tratran'ny tara-masoandro,Cr�me cortisone : 2x/andro (maraina-hariva) mandritra ny 5 andro,Antihistaminique : raha ilaina,Mampiasa cr�me miaro amin'ny tara-masoandro (SPF 50)
aretin-tongotra (olona antitra),Mangirifirifa ny lohaliko rehefa mitsangana vokatry ny arthritis,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 7 andro,Parac�tamol : raha ilaina,Manao fanatanjahan-tena maivana toy ny milomano
aretin-tongotra (olona antitra),Mivonto ny kitrokely sy ny tongotra vokatry ny rano mitazona,Furos�mide : 1x/andro (maraina) mandritra ny 5 andro,Spironolactone : 1x/andro (maraina),Manandratra ny tongotra rehefa mipetraka
aretin-tongotra (olona antitra),Misy fery eo amin'ny tongotra vokatry ny diabeta,Fanadiovana fery : 2x/andro (maraina-hariva),Antibiotika : raha ilaina,Jereo ny tongotra isan'andro ary mampiasa kiraro malefaka
aretin-tongotra (olona antitra),Mangirifirifa ny tongotra amin'ny alina vokatry ny tsy fahampian'ny potassium,Potassium : 1x/andro (maraina) mandritra ny 1 volana,Magn�sium : 1x/andro (hariva),Mihinana akondro sy ovy betsaka
