categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
aretin-urinaire,Misy cystite mafy aho mandritra ny 2 andro inona ny tokony hatao?,Fosfomycine 3g : 1 sachet unique,Paracétamol 500 mg : 3x/andro raha ilaina,Misotroa rano cranberry,aretin-urinaire,misy cystite mafy aho mandritra ny andro inona ny tokony hatao
kohaka,Mikohaka mafy ary very hery aho mandritra ny andro manontolo,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro (maraina),Misotroa rano mafana sy tantely matetika isan andro,kohaka,mikohaka mafy ary very hery aho mandritra ny andro manontolo kohaka
areti-maso,Misy areti-maso aho mandritra ny andro manontolo,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,misy areti-maso areti maso aho mandritra ny andro manontolo masoko masony
aretin-tenda,Sarotra ny mitelina noho ny tendako marary hatramin'ny herinandro,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana misy tantely sy voasarimakirana ary sakaviro,aretin-tenda,sarotra ny mitelina noho ny tendako marary hatramin'ny herinandro tenda tendany marary tenda manaintaina mangirifiry fanaintainana
tazo,Voan ny tazo ary very hery aho nandritra ny 3 andro izay efa 6 andro lasa izay,Paracétamol 500 mg : isaky ny 8 ora mandritra ny 5 andro,ORS : misotroa betsaka rehefa mangovitra,Misotroa rano betsaka ary asio lamba mando eo amin ny handrina,tazo,voan ny tazo ary very hery aho nandritra ny andro izay efa andro lasa izay manavy mafana mamay
aretin-urinaire,Inona no atao raha misy infection urinaire aho efa 6 andro lasa izay?,Ciprofloxacine 500 mg : 2x/andro mandritra ny 7 andro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Aza mihinana sakafo misy sukary,aretin-urinaire,inona no atao raha misy infection urinaire aho efa andro lasa izay
aretin-tanana,Tanana mivonto ary mena,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Gel anti-inflammatoire : mametraka 2x/andro,Aza miasa be loatra ary mitsahara matetika,aretin-tanana,tanana mivonto ary mena tananako ankihibe ratsan-tanana
aretin-tongotra,Inona no atao raha manaintaina ny tongotrako hatramin'ny maraina?,Kétoprofène 100 mg : 2x/andro mandritra ny 5 andro,Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tongotra,inona no atao raha manaintaina ny tongotrako hatramin'ny maraina marary mangirifiry fanaintainana
aretim-po,Foko mafy ary misy vertiges hatramin'ny maraina,Bisoprolol 5 mg : 1x/andro (maraina) tsy tapaka,Amlodipine 5 mg : 1x/andro (maraina),Mila mampihena ny stress ary aza miasa be loatra,aretim-po,foko mafy ary misy vertiges hatramin'ny maraina fo
aretin-kibo,Marary ny kiboko ary manotika hatramin'ny 9 ora,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Métoclopramide : 3x/andro raha misy nausée,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,marary ny kiboko ary manotika hatramin'ny ora manaintaina mangirifiry fanaintainana kibo kibony
aretin-kibo,Tsy mahasahy mihinana aho noho ny kiboko marary efa 6 andro lasa izay,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Dompéridone : 3x/andro alohan ny sakafo,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,tsy mahasahy mihinana aho noho ny kiboko marary efa andro lasa izay kibo kibony manaintaina mangirifiry fanaintainana
aretin-tenda,Manaintaina ny tendako hatramin ny omaly efa 6 andro lasa izay,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,manaintaina ny tendako hatramin ny omaly efa andro lasa izay marary mangirifiry fanaintainana tenda tendany marary tenda
aretin-tratra,Sarotra amiko ny miaina mandritra ny 2 andro,Salbutamol inhaler : 2 bouffées rehefa ilaina,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Miala sasatra tsara ary misotroa rano mafana misy tantely,aretin-tratra,sarotra amiko ny miaina mandritra ny andro
aretin-tenda,Misy infection ao amin ny tendako efa 6 andro lasa izay,Benzidamine spray : 3x/andro amin ny tendako,Pastilles pour gorge : matetika isan andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,misy infection ao amin ny tendako efa andro lasa izay tenda tendany marary tenda
aretim-po,Misy tsindry eo amin ny foko hatramin'ny alina,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Nitroglycérine spray : raha ilaina rehefa mafy,Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,misy tsindry eo amin ny foko hatramin'ny alina tosi-dra hypertension fo
kohaka,Misy siflema be aho misy fanafody ve?,Dextromethorphan sirop : 2x/andro (maraina-hariva),ORS : misotroa betsaka,Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,misy siflema be aho misy fanafody ve
aretim-po,Foko mafy ary misy vertiges mandritra ny andro manontolo,Atorvastatine 10 mg : 1x/andro (hariva),Nitroglycérine spray : raha ilaina rehefa mafy,Aza mihinana sakafo misy graise be ary manaova dieta,aretim-po,foko mafy ary misy vertiges mandritra ny andro manontolo fo
areti-maso,Inona no atao raha mangorakoraka ny masoko ary mitebiteby hatramin'ny alina?,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Antihistaminique collyre : 2x/andro,Matoria tsara ary aza mijery finday sy solosaina lava,areti-maso,inona no atao raha mangorakoraka ny masoko ary mitebiteby hatramin'ny alina maso masony
fiakaran-ny-tosi-dra,Ambony ny tosi-drako ary mangorakoraka be ny foko,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,ambony ny tosi-drako tosi drako ary mangorakoraka be ny foko fo
aretin-kibo,Misy ulcère ny kiboko hatramin'ny alina,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Métoclopramide : 3x/andro raha misy nausée,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy ulcere ny kiboko hatramin'ny alina kibo kibony
areti-maso,Misy gratte eo amin ny masoko hatramin'ny maraina,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,misy gratte eo amin ny masoko hatramin'ny maraina maso masony
tazo,Tsy afaka mitsangana aho noho ny tazo hatramin ny omaly,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Matoria tsara ary miala manaova mafana tsara,tazo,tsy afaka mitsangana aho noho ny tazo hatramin ny omaly manavy mafana mamay
tazo,Mafana ny vatako ary manaintaina,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,Vitamine C 1000 mg : 1x/andro (maraina),Misotroa rano betsaka 3L isan andro ary matoria tsara,tazo,mafana ny vatako ary manaintaina tazo manavy mamay marary mangirifiry fanaintainana
aretin-urinaire,Matetika mankany amin ny toilette aho,Triméthoprime-Sulfaméthoxazole : 2x/andro mandritra ny 5 andro,ORS : misotroa betsaka,Aza manao firaisana ara nofo raha tsy sitrana tsara,aretin-urinaire,matetika mankany amin ny toilette aho
kohaka,Mikohaka tsy mitsahatra aho ary manaintaina be ny tratrako hatramin'ny herinandro,Ambroxol sirop : 3x/andro mandritra ny 5 andro,ORS : misotroa betsaka,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,mikohaka tsy mitsahatra aho ary manaintaina be ny tratrako hatramin'ny herinandro kohaka marary mangirifiry fanaintainana tratra
aretin-tsaina,Tsy nahita tory aho alina efa 6 andro lasa izay,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Anxiolytique : raha ilaina,Maka hazavana amin ny antoandro ary manao hetsika maivana,aretin-tsaina,tsy nahita tory aho alina efa andro lasa izay
aretin-urinaire,Misy infection urinaire aho hatramin'ny herinandro,Ciprofloxacine 500 mg : 2x/andro mandritra ny 7 andro,ORS : misotroa betsaka,Aza manao firaisana ara nofo raha tsy sitrana tsara,aretin-urinaire,misy infection urinaire aho hatramin'ny herinandro
aretin-kibo,Areti-kibo mafy no manenjika ahy hatramin'ny alina,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Smecta : 3x/andro raha misy alahelo,Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,areti-kibo areti kibo mafy no manenjika ahy hatramin'ny alina kibony kiboko
tazo,Inona no atao raha misy tazo foana aho isak hariva mba hanampy?,Aspirine 500 mg : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Asio lamba mando eo amin ny handrina ary misotroa rano,tazo,inona no atao raha misy tazo foana aho isak hariva mba hanampy manavy mafana mamay
aretin-kibo,Misy fanaintainana kiboko sy mandrevo,Ranitidine 150 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy nausée,Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,misy fanaintainana kiboko sy mandrevo marary manaintaina mangirifiry kibo kibony mivalanana mivalan-tay
aretin-urinaire,Marary aho rehefa mivoaka pipi hatramin'ny 9 ora,Triméthoprime-Sulfaméthoxazole : 2x/andro mandritra ny 5 andro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,marary aho rehefa mivoaka pipi hatramin'ny ora manaintaina mangirifiry fanaintainana mamany mipipi
areti-maso,Inona no atao raha misy ranomaso mena mivoaka ny masoko mandritra ny 2 andro?,Gentamicine collyre : 3x/andro mandritra ny 5 andro,Larmes artificielles : matetika isan andro,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,inona no atao raha misy ranomaso mena mivoaka ny masoko mandritra ny andro maso masony
aretin-tsaina,Tsy nahita tory aho alina hatramin'ny maraina,Mélatonine : 1x/andro (hariva) mandritra ny 1 volana,Magnésium : 1x/andro (hariva) mandritra ny 1 volana,Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,tsy nahita tory aho alina hatramin'ny maraina
aretin-kibo,Marary ny kiboko ary misy nausée hatramin'ny alina,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Smecta : 3x/andro raha misy alahelo,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,marary ny kiboko ary misy nausee hatramin'ny alina manaintaina mangirifiry fanaintainana kibo kibony
aretin-tsaina,Misy burn-out aho mandritra ny andro manontolo,Hydroxyzine : 1x/andro (hariva) raha ilaina,Mélatonine 5 mg : 1x/andro (hariva),Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,misy burn-out burn out aho mandritra ny andro manontolo
diabeta,Inona no atao raha mitebiteby sy reraka lava aho mandritra ny 2 andro?,Insuline : araka ny torohevitry ny dokotera,Atorvastatine : 1x/andro (hariva),Aza mihinana sakafo avy any ambanin ny tany matetika,diabeta,inona no atao raha mitebiteby sy reraka lava aho mandritra ny andro
areti-maso,Misy fanaintainana ao amin ny masoko hatramin'ny 9 ora,Collyre antiseptique : 3x/andro mandritra ny 5 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,misy fanaintainana ao amin ny masoko hatramin'ny ora marary manaintaina mangirifiry maso masony
aretin-kibo,Misy gastrite be aho hatramin'ny maraina,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Métoclopramide : 3x/andro raha misy nausée,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,misy gastrite be aho hatramin'ny maraina
aretin-tsaina,Mipanika be aho matetika efa 6 andro lasa izay,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Magnésium : 1x/andro (hariva) mandritra ny 1 volana,Ahenao ny fampiasana solosaina sy finday amin ny alina,aretin-tsaina,mipanika be aho matetika efa andro lasa izay
tazo,Ambony ny hafanan ny vatako ary mangovitra be aho hatramin'ny maraina,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Miala sasatra tsara ary misotroa rano mafana,tazo,ambony ny hafanan ny vatako ary mangovitra be aho hatramin'ny maraina
kohaka,Mikohaka ary tsy mahazo aina tsara aho hatramin'ny herinandro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,mikohaka ary tsy mahazo aina tsara aho hatramin'ny herinandro kohaka
aretin-tratra,Misy asthme be aho hatramin'ny alina,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Misotroa rano mafana foana ary matoria tsara,aretin-tratra,misy asthme be aho hatramin'ny alina
tazomoka,Voan ny tazomoka ary mitebiteby be aho,Quinine : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka ary mitebiteby be aho tazo avy amin ny kaikitry ny moka
aretin-doha,Migraine mafy ary manaintaina ny masoko,Sumatriptan : 1x/andro raha ilaina,Caféine 100mg : 1x/andro (maraina),Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,migraine mafy ary manaintaina ny masoko marary mangirifiry fanaintainana maso masony
areti-maso,Misy hazavana manelika eo amin ny masoko mandritra ny 2 andro,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,misy hazavana manelika eo amin ny masoko mandritra ny andro maso masony
areti-maso,Mena ny masoko sy misy ranomaso be mandritra ny 2 andro,Gentamicine collyre : 3x/andro mandritra ny 5 andro,Larmes artificielles : matetika isan andro,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,mena ny masoko sy misy ranomaso be mandritra ny andro maso masony
aretin-tenda,Marary ny tendako nandritra ny 3 andro izay efa 6 andro lasa izay,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,aretin-tenda,marary ny tendako nandritra ny andro izay efa andro lasa izay manaintaina mangirifiry fanaintainana tenda tendany marary tenda
aretin-pivalanana,Mandrevo mafy ary very hery be mandritra ny 2 andro,Racécadotril 100 mg : 3x/andro mandritra ny 5 andro,Lopéramide : raha ilaina,Mihinana sakafo malefaka ary aza mihinana sakafo mafana be na mangatsiaka be loatra,aretin-pivalanana,mandrevo mafy ary very hery be mandritra ny andro mivalanana mivalan-tay
tazo,Mafana be ny vatako ary mangovitra be aho ahoana ny fitsaboana?,Paracétamol 500 mg : isaky ny 8 ora mandritra ny 5 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano betsaka ary asio lamba mando eo amin ny handrina,tazo,mafana be ny vatako ary mangovitra be aho ahoana ny fitsaboana tazo manavy mamay
aretin-kibo,Inona no atao raha misy fanaintainana kiboko sy mandrevo hatramin'ny maraina?,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Antiacide : raha ilaina rehefa manaintaina,Mihinana matetika sakafo kely ary aza mihinana be indray mandeha,aretin-kibo,inona no atao raha misy fanaintainana kiboko sy mandrevo hatramin'ny maraina marary manaintaina mangirifiry kibo kibony mivalanana mivalan-tay
aretin-kibo,Misy gastrite be aho mandritra ny 2 andro,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Métoclopramide : 3x/andro raha misy nausée,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy gastrite be aho mandritra ny andro
areti-maso,Misy areti-maso aho efa 6 andro lasa izay,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : matetika isan andro,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,misy areti-maso areti maso aho efa andro lasa izay masoko masony
aretin-tsaina,Very ny finiavako tia miasa hatramin'ny 9 ora,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Vitamine B12 : 1x/andro (maraina),Ahenao ny fampiasana solosaina sy finday amin ny alina,aretin-tsaina,very ny finiavako tia miasa hatramin'ny ora
aretim-po,Manaintaina ny foko ary misy sueurs froides mandritra ny andro manontolo,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,manaintaina ny foko ary misy sueurs froides mandritra ny andro manontolo marary mangirifiry fanaintainana fo
aretin-tenda,Misy angine be aho,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Spray antiseptique amin ny tendako : 3x/andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,misy angine be aho
aretin-tsaina,Tsy mahazo aina tsara ny saiko mandritra ny andro manontolo,Hydroxyzine : 1x/andro (hariva) raha ilaina,Anxiolytique : raha ilaina,Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,tsy mahazo aina tsara ny saiko mandritra ny andro manontolo saina kivy
aretin-tsaina,Mitebiteby be aho ary tsy mahazo matory,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Mélatonine 5 mg : 1x/andro (hariva),Maka hazavana amin ny antoandro ary manao hetsika maivana,aretin-tsaina,mitebiteby be aho ary tsy mahazo matory
aretin-tongotra,Tongotra mivonto ary manaintaina be no mahazo ahy hatramin'ny alina misy fanafody ve?,Naproxène 500 mg : 2x/andro (maraina-hariva),Diclofénac gel : mametraka 3x/andro,Mitsahara ary aza mitsangana ela loatra,aretin-tongotra,tongotra mivonto ary manaintaina be no mahazo ahy hatramin'ny alina misy fanafody ve tongotro lohalika ratsan-tongotra marary mangirifiry fanaintainana
aretin-tenda,Manaintaina ny tendako ary very hery aho efa 6 andro lasa izay,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Pastilles pour gorge : matetika isan andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,manaintaina ny tendako ary very hery aho efa andro lasa izay marary mangirifiry fanaintainana tenda tendany marary tenda
aretin-urinaire,Matetika mivoaka pipi aho hatramin'ny 9 ora,Ciprofloxacine 500 mg : 2x/andro mandritra ny 7 andro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Misotroa rano cranberry,aretin-urinaire,matetika mivoaka pipi aho hatramin'ny ora mamany mipipi
aretin-tsaina,Inona no atao raha kivy be aho ary very hery hatramin'ny maraina?,Mélatonine : 1x/andro (hariva) mandritra ny 1 volana,Valériane : 1x/andro (hariva),Manao yoga na meditation isan andro 15 minitra,aretin-tsaina,inona no atao raha kivy be aho ary very hery hatramin'ny maraina saiko saina
fiakaran-ny-tosi-dra,Misy tosi-dra ambony ary manaintaina ny lohako,Lisinopril 10 mg : 1x/andro (maraina),Atorvastatine 10 mg : 1x/andro (hariva),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,misy tosi-dra tosi dra ambony ary manaintaina ny lohako tsindry hypertension marary mangirifiry fanaintainana loha lohany
tazomoka,Voan ny tazomoka aho hatramin'ny herinandro,Artéméther injection : araka ny dokotera,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazomoka aho hatramin'ny herinandro tazo avy amin ny kaikitry ny moka
aretin-urinaire,Misy odeur mauvaise amin ny pipi,Triméthoprime-Sulfaméthoxazole : 2x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Aza manao firaisana ara nofo raha tsy sitrana tsara,aretin-urinaire,misy odeur mauvaise amin ny pipi mamany mipipi
aretin-urinaire,Misy infection urinaire aho,Ciprofloxacine 500 mg : 2x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Aza mitazona pipi ela loatra,aretin-urinaire,misy infection urinaire aho
areti-maso,Masoko mena sy misy démangeaison efa 6 andro lasa izay,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,masoko mena sy misy demangeaison efa andro lasa izay maso masony
fiakaran-ny-tosi-dra,Ambony be ny tosi-drako efa 6 andro lasa izay,Lisinopril 10 mg : 1x/andro (maraina),Aspirine 75 mg : 1x/andro (maraina),Aza mihinana anamamy sy hen omby be loatra,fiakaran-ny-tosi-dra,ambony be ny tosi-drako tosi drako efa andro lasa izay
kohaka,Mikohaka aho hatramin ny 5 andro lasa izay misy fanafody ve?,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,mikohaka aho hatramin ny andro lasa izay misy fanafody ve kohaka
aretin-tongotra,Mivonto ny rantsa tongoko ary manaintaina be hatramin'ny 9 ora,Naproxène 500 mg : 2x/andro (maraina-hariva),Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,mivonto ny rantsa tongoko ary manaintaina be hatramin'ny ora marary mangirifiry fanaintainana
kohaka,Mikohaka aho hatramin ny 5 andro lasa izay efa 6 andro lasa izay,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,mikohaka aho hatramin ny andro lasa izay efa andro lasa izay kohaka
aretin-doha,Voan'ny headache mafy aho androany efa 6 andro lasa izay,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro raha ilaina,Aza mijery solosaina na finday ela loatra,aretin-doha,voan'ny headache mafy aho androany efa andro lasa izay
areti-maso,Misy conjonctivite aho hatramin'ny alina,Collyre antiseptique : 3x/andro mandritra ny 5 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,misy conjonctivite aho hatramin'ny alina
aretim-po,Misy fanafihana eo amin ny foko hatramin ny omaly,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,misy fanafihana eo amin ny foko hatramin ny omaly fo
aretin-tenda,Inona no atao raha misy angine be aho?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,inona no atao raha misy angine be aho
tazomoka,Voan ny tazo sy mivalana aho mandritra ny andro manontolo,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Mampiasa ody mokaMisotroa rano betsaka ary matoria amin ny toerana mafana,tazomoka,voan ny tazo sy mivalana aho mandritra ny andro manontolo manavy mafana mamay
aretin-tongotra,Manaintaina ny tongotro ary sarotra amiko ny mandeha hatramin'ny 9 ora,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Myorelaxant : 1x/andro (hariva),Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,manaintaina ny tongotro ary sarotra amiko ny mandeha hatramin'ny ora marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
aretim-po,Mangorakoraka mafy ny foko mandritra ny andro manontolo,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Nitroglycérine spray : raha ilaina rehefa mafy,Aza mihinana sakafo misy graise be ary manaova dieta,aretim-po,mangorakoraka mafy ny foko mandritra ny andro manontolo fo
kohaka,Mikohaka mando ary misy siflema aho hatramin'ny maraina,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana sy tantely matetika isan andro,kohaka,mikohaka mando ary misy siflema aho hatramin'ny maraina kohaka
tazo,Misy tazo ary mitebiteby be aho mandritra ny 2 andro,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,ORS : misotroa betsaka rehefa mangovitra,Misotroa rano betsaka ary asio lamba mando eo amin ny handrina,tazo,misy tazo ary mitebiteby be aho mandritra ny andro manavy mafana mamay
aretin-tenda,Inona no atao raha marary ny tendako rehefa mitelina hatramin'ny herinandro?,Benzidamine spray : 3x/andro amin ny tendako,Spray antiseptique amin ny tendako : 3x/andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,inona no atao raha marary ny tendako rehefa mitelina hatramin'ny herinandro manaintaina mangirifiry fanaintainana tenda tendany marary tenda
fiakaran-ny-tosi-dra,Tosi-dra 160/100 no mahazo ahy hatramin'ny 9 ora,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Ahenao ny sira amin ny sakafo ary manaova fanatanjahan-tena maivana,fiakaran-ny-tosi-dra,tosi-dra tosi dra 160 100 no mahazo ahy hatramin'ny ora tsindry hypertension
aretin-tanana,Tanana marary ary tsy mahazo misasa mandritra ny andro manontolo,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka eo amin ny toerana marary,Aza miasa be loatra ary mitsahara matetika,aretin-tanana,tanana marary ary tsy mahazo misasa mandritra ny andro manontolo tananako ankihibe ratsan-tanana manaintaina mangirifiry fanaintainana
diabeta,Misy diabeta ary reraka be foana aho hatramin'ny herinandro,Metformine 850 mg : 2x/andro (maraina-hariva),Vitamine D : 1x/andro (maraina),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,misy diabeta ary reraka be foana aho hatramin'ny herinandro fiakaran ny siramamy fidinan ny siramamy
kohaka,Inona no atao raha mikohaka tsy mitsahatra aho ary manaintaina be ny tratrako hatramin'ny maraina?,Sirop toux (Toplexil) : 3x/andro (maraina-atoandro-hariva) mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro (maraina),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,inona no atao raha mikohaka tsy mitsahatra aho ary manaintaina be ny tratrako hatramin'ny maraina kohaka marary mangirifiry fanaintainana tratra
aretin-tratra,Inona no atao raha sarotra amiko ny miaina hatramin'ny 9 ora?,Salbutamol inhaler : 2 bouffées rehefa ilaina,Vitamine C 500 mg : 1x/andro,Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,inona no atao raha sarotra amiko ny miaina hatramin'ny ora
aretin-tongotra,Inona no atao raha misy gonflement eo amin ny lohalikako hatramin'ny herinandro?,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,inona no atao raha misy gonflement eo amin ny lohalikako hatramin'ny herinandro
